molecule_chembl_id,CLint(ul/min/mg),SMILES
CHEMBL256851,11,CC(=O)N1C2C=C(CN3[C@@H]4CC[C@H]3C[C@H](Nc3ccc5ccc(C(F)(F)F)cc5n3)C4)CC1CCC2
CHEMBL258272,26,CC(=O)N1C2C=C(CN3CCC(N(C)c4nc5ccccc5s4)CC3)CC1CCC2
CHEMBL402514,18,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5c(C(F)(F)F)cc(C(F)(F)F)nc5n4)CC3)CC1CCC2
CHEMBL256190,15,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5cc(Cl)ccc5n4)CC3)CC1CCC2
CHEMBL271847,10,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5ccc(C(F)(F)F)cc5n4)CC3)CC1CCC2
CHEMBL257018,18,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5c(F)cc(OC(C)C)cc5n4)CC3)CC1CCC2
CHEMBL404028,23,CC(=O)N1C2C=C(CN3CCC(Nc4ccc5cc(OC(F)(F)F)ccc5n4)CC3)CC1CCC2
CHEMBL468710,18,c1ccc([C@@H]2Cc3nccn3C2)c(-c2nccs2)c1
CHEMBL448908,18,c1ccc(-n2cccn2)c([C@@H]2Cc3nccn3C2)c1
CHEMBL448802,12,c1ccc([C@@H]2Cc3nccn3C2)c(-c2ncco2)c1
CHEMBL466634,16,Fc1ccc(-c2ncco2)c(C2Cc3nccn3C2)c1
CHEMBL509350,10,Fc1ccc(-c2ccn[nH]2)c(C2Cc3nccn3C2)c1
CHEMBL510023,9,Fc1ccc(-n2cccn2)c(C2Cc3nccn3C2)c1
CHEMBL223713,44.67,CCc1cccc2c1N(C)Cc1cc3c(cc1-2)OCO3
CHEMBL5077861,83,C=CC(=O)N1CC2(CC(n3nc(-c4ccc5c(cnn5C)c4)c(-c4c(Cl)c(C)cc5[nH]ncc45)c3C)C2)C1
CHEMBL5290261,13.5,Cc1csc([C@@]2(CN)[C@@H]3CN(c4cnc5c(-c6ccc7nn(C)cc7c6Cl)n[nH]c5n4)C[C@@H]32)n1
CHEMBL3827774,116,CNC(=O)c1ccc2cncc(-c3ccc4c(cnn4C)c3)c2n1
CHEMBL1085889,3,c1cc2c(cc1CN1CC3(COC3)C1)OCO2
CHEMBL1086370,15,c1cc2c(cc1CN1CC3CC(C1)O3)OCO2
CHEMBL5183924,40,C=C(F)C(=O)Nc1cc2c(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)ncnc2cc1OCC
CHEMBL1085886,21,c1cc2c(cc1CN1CCC13COC3)OCO2
CHEMBL1086368,6,c1cc2c(cc1CN1CCC3(CC1)COC3)OCO2
CHEMBL3774945,10,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1
CHEMBL4748041,28,CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(NCC5(N)CC5)c(C)n4)n3)cc12
CHEMBL1086361,31,c1cc2c(cc1CN1CCCC13COC3)OCO2
CHEMBL1086365,16,c1cc2c(cc1CN1CCCC3(COC3)C1)OCO2
CHEMBL1784579,11,Cc1cc(Nc2ccc3c(c2)OCO3)n2ncnc2n1
CHEMBL586157,77,Cc1cc(Nc2ccc3c(c2)CCC3)n2ncnc2n1
CHEMBL1086127,19,c1cc2c(cc1CN1CCCCC13COC3)OCO2
CHEMBL4786015,55,CCn1c(-c2nnc(N(C)Cc3ccc4nccn4c3)o2)nc2ccccc21
CHEMBL5415362,88.1,N#Cc1cc(C2CC2)c2ncc(CO)c(NCc3ccc4c(c3)OCO4)c2c1
CHEMBL282625,7,N=C(N)c1cc2c(/C=C/c3ccc4c(c3)OCO4)cccc2s1
CHEMBL4082469,137,CSc1sc(C(N)=O)c2c1-c1sncc1CC2
CHEMBL2325699,8.91,CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1
CHEMBL5407646,96,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(N5CCC5)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL5421376,62,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(N5CCCC5)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL5435544,31,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(NCC(=O)N(C)C)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL5405740,35,CCNCC(=O)NC12CCC(Cn3nc(C)c4c3CCN(c3cc(C)nc5c3cnn5C)C4)(CC1)CC2
CHEMBL5432727,27,COCCNC12CCC(Cn3nc(C)c4c3CCN(c3cc(C)nc5c3cnn5C)C4)(CC1)CC2
CHEMBL5432728,147,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(NC(=O)CN(C)C)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL5423692,107,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(NS(C)(=O)=O)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL5431871,19,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(N)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL1784562,53,Cc1cc(Nc2ccc(C3CC3)cc2)n2ncnc2n1
CHEMBL1946027,150,CCN(C)C(=O)c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1
CHEMBL1946618,24,CN(CCO)C(=O)c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1
CHEMBL1946029,64,CN(C)C(=O)c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1
CHEMBL2152523,13.9,c1ccc([C@H]([C@@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1
CHEMBL1939745,430,CCOC(=O)Nc1ccccc1[C@@H](c1ccc(C(=O)N(CC)CC)cc1)N1CCN(Cc2cscn2)CC1
CHEMBL1946620,67,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2ccccn2)cc1
CHEMBL1939749,17,CCOC(=O)Nc1cccc([C@@H](c2ccc(C(=O)N(C)CC)cc2)N2CCN(Cc3nc[nH]c3C)CC2)c1
CHEMBL1939736,100,CCN(CC)C(=O)c1ccc([C@H](c2cccc(NC(=O)OC)c2)N2CCN(Cc3cncs3)CC2)cc1
CHEMBL4634148,109,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCOc2ccc(-c3nccs3)cc2)C1
CHEMBL339457,6,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(F)c2)cc1
CHEMBL4227540,43,COc1cc2ccc(C#N)cc2cc1[C@@H](c1cccc(F)c1)[C@@](O)(CCN(C)C)c1cc2ccccc2o1
CHEMBL3093076,21,Fc1ncccc1[C@H](Nc1nnc(-c2c[nH]c3ncccc23)o1)C1CC1
CHEMBL3093077,27,Fc1cnccc1[C@H](Nc1nnc(-c2c[nH]c3ncccc23)o1)C1CC1
CHEMBL3093074,56,c1ccc([C@H](Nc2nnc(-c3c[nH]c4ncccc34)o2)C2CC2)cc1
CHEMBL4227161,31,COc1cc2ccc(C#N)cc2cc1[C@@H](c1cccc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2c1CCC2
CHEMBL4227994,4.9,COc1cc([C@H](c2cc3cc(C#N)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OC(C)C)n1
CHEMBL4227669,3,CCOc1cc([C@H](c2cc3cc(Br)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OCC)n1
CHEMBL4229114,11,COc1cc2ccc(C#N)cc2cc1[C@@H](c1cccc(F)c1)[C@@](O)(CCN(C)C)c1cccc2ccoc12
CHEMBL4226881,5,CCCOc1cc([C@H](c2cc3cc(Br)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OC)n1
CHEMBL4228122,12,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2c1CCN2C
CHEMBL4224771,14,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccoc12
CHEMBL4228012,9,COc1cc2ccc(Br)cc2cc1[C@@H](c1cccc(OC)c1F)[C@@](O)(CCN(C)C)c1cccc2c1CCC2
CHEMBL4225886,23,COc1cc2ccc(C#N)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2c1OCC2
CHEMBL4228918,15,COc1cc2ccc(C#N)cc2cc1[C@@H](c1cccc(C)c1)[C@@](O)(CCN(C)C)c1cccc2c1OCO2
CHEMBL4227218,21,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccsc12
CHEMBL4225899,12,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2occc12
CHEMBL4228130,18,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1cccc2ccoc12
CHEMBL4225136,8,COc1cc2ccc(Br)cc2cc1[C@@H](c1ccnc(OC)c1OC)[C@@](O)(CCN(C)C)c1ccnc2c1OCCO2
CHEMBL1098695,31,CN1C2CCC1CC(=NOC(c1ccccc1)c1ccc(Cl)cc1)C2
CHEMBL855,8,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
CHEMBL1096889,81,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NCCN(C(C)C)C(C)C)nc32)[C@H](O)[C@@H]1O
CHEMBL4089227,20,Cn1nc(-c2cnc(N)c(-c3nnc(C(C)(C)C)o3)n2)nc1C1(c2ccccc2)CC1
CHEMBL5205690,7.5,COc1ccc(C2(c3ccc(OC4CNC4)c(C)c3)COC2)cc1
CHEMBL5182308,22.9,Cc1cc(C2(c3cn(C)c4ccccc34)COC2)ccc1O
CHEMBL87045,28,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1
CHEMBL5171958,80,COc1ccc(C2(c3ccc(O)c(C)c3)COC2)cc1
CHEMBL5419406,130,Cc1cc(N2CCc3c(c(C)nn3CC34CCC(N5C[C@@H](C)O[C@@H](C)C5)(CC3)CC4)C2)c2cnn(C)c2n1
CHEMBL3618235,105,Cc1nc(N)nc(-c2c(Nc3ccc4ccncc4c3)nc3ccccn23)n1
CHEMBL3618234,111,Cc1nc(N)nc(-c2c(Nc3ccc4ncccc4c3)nc3ccccn23)n1
CHEMBL1615183,79,Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1
CHEMBL3618237,70,Cc1nc(N)nc(-c2c(Nc3cccc4[nH]ncc34)nc3ccccn23)n1
CHEMBL480816,5,CN(C)CCN1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2C1
CHEMBL1651390,5,CN(C)CCNC1COc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2C1
CHEMBL3357023,132,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(O)cnc32)CC1
CHEMBL4649329,48,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ccc[n+]([O-])c32)CC1
CHEMBL4645629,132,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CC(O)c3cccnc32)CC1
CHEMBL4646840,35,CCOC(=O)N1CC(O)C(=C2c3ccc(Cl)cc3CCc3cccnc32)C(O)C1
CHEMBL4634510,108,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ccc(C(F)F)nc32)CC1
CHEMBL4649344,51,CCOC(=O)N1CC/C(=C2/c3ccc(Cl)cc3CCc3cccnc32)C(O)C1
CHEMBL3357022,283,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3c(CO)ccnc32)CC1
CHEMBL1172,4.8,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
CHEMBL4639563,157,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3C(O)Cc3cccnc32)CC1
CHEMBL4633975,283,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3c(C(F)F)ccnc32)CC1
CHEMBL4637657,21,CCOC(=O)N1C(O)CC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1O
CHEMBL4643460,66,CCOC(=O)N1C=C/C(=C2\c3ccc(Cl)cc3CCc3cc(O)cnc32)CC1
CHEMBL4632879,23,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ccc[n+](C)c32)CC1
CHEMBL2325719,5.75,Cc1ccc2[nH]ccc2c1-c1nc(N2CCOCC2)cc(C2(S(C)(=O)=O)CC2)n1
CHEMBL2325697,7.41,C[C@@H]1COCCN1c1cc(C2(S(C)(=O)=O)CC2)nc(-c2cccc3[nH]ccc23)n1
CHEMBL4103201,108,C=CC(=O)N1CCC[C@@H](n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)C1
CHEMBL1684986,9.7,Nc1ncc(-c2nc(N3CCOCC3)nc3c2CCN3c2cccnc2)cn1
CHEMBL2348154,21,Nc1nccc(-n2cc(-c3cccnc3Cl)c3cnccc32)n1
CHEMBL4099713,122,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccccc3)c3c(N)ncnc32)C1
CHEMBL2348152,30,Nc1nccc(-n2cc(-c3cccnc3Cl)c3cnc(Cl)cc32)n1
CHEMBL4746615,12,C=CC(=O)N1CC(c2ccc(-c3nc(Nc4cc(C)[nH]n4)cc(N4CCN(C)CC4)n3)cc2)C1
CHEMBL4783883,14,C=CC(=O)N1CC2(CCN(c3nc(Nc4cc(C(C)C)[nH]n4)cc(N4CCN(C)CC4)n3)CC2)C1
CHEMBL4779534,8.7,C=CC(=O)N1CCC2(CCN(c3nc(Nc4cc(C(C)C)[nH]n4)cc(N4CCN(C)CC4)n3)CC2)C1
CHEMBL4777079,13,C=CC(=O)NC12CCC(/C=C/c3nc(Nc4cc(C)[nH]n4)cc(N4CCN(C)CC4)n3)(CC1)CC2
CHEMBL1835918,26.17,Cc1ccc(N2CC(COc3ccc(-c4noc(C)n4)cc3)C2)nn1
CHEMBL4594350,80,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N
CHEMBL1800632,88.4,Cl.N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCN2CCCC2)n2c1nc1ccccc12
CHEMBL3903779,50,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CC2CCC(C1)O2
CHEMBL3941818,352,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(-c2ncco2)cc1
CHEMBL3920167,447,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccc(-c2ncco2)c1
CHEMBL4514031,27,C[C@@H]1COCCN1c1nc(N2CCOC[C@@H]2C)nc2[nH]c(-c3cccc4[nH]ccc34)nc12
CHEMBL5413317,22,C[C@@H]1COCCN1c1cc(N2CCOC[C@@H]2C)nc2sc(-c3ccccn3)nc12
CHEMBL2313411,10.5,CC(C)OC(=O)N1CCC(N2Cc3cn(-c4ccc(S(C)(=O)=O)cc4F)nc3C2)CC1
CHEMBL1389370,9.55,CCN(CC)CCNc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3
CHEMBL4854446,14.6,Cc1ccc(-c2cc3occ(CNC4CCNC4)c3cc2-c2ccc(C#N)cc2)cc1
CHEMBL5434387,97,C=CC(=O)N1CCN2Cc3cc(C4CC4)c(-c4c(O)cccc4Cl)c(F)c3OC[C@H]2C1
CHEMBL5431716,25,C=CC(=O)N1CCN2Cc3cc(OC4CC4)c(-c4c(O)cccc4Cl)c(F)c3OC[C@H]2C1
CHEMBL5276374,123,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4cc(OC)c(C)c(OC)c4)nn32)CC1
CHEMBL467915,22,FC(F)Oc1ccccc1C1Cc2nccn2C1
CHEMBL507755,23,COc1cccc(C2Cc3nccn3C2)c1
CHEMBL449284,18,Clc1ccccc1C1Cc2nccn2C1
CHEMBL465963,15,c1ccc(C2Cc3nccn3C2)cc1
CHEMBL501920,30,COc1ccc(C2Cc3nccn3C2)cc1
CHEMBL5396013,22.7,Cc1n[nH]c2c1[C@@H](O)[C@H](n1nnc3ccccc31)[C@@H](c1ccccc1Br)N2
CHEMBL5406998,5.01,Cc1n[nH]c2c1[C@@H](O)[C@H](n1nnc3ccccc31)[C@@H](c1ccccc1)N2
CHEMBL4452819,13,C=CC(=O)N1CCN2c3ncnc4c(F)c(-c5c(O)cccc5F)c(Cl)c(c34)OC[C@@H]2C1
CHEMBL5207711,66,C=CC(=O)N1CCN2c3ncnc4c(F)c(-c5c(O)cccc5F)c(Cl)c(c34)OCC[C@H]2C1
CHEMBL4854083,33,CC(C)(NC(=O)c1cc(F)cc2cc(-c3ccc(Cl)cc3)oc12)C(=O)O
CHEMBL2408165,97,c1ccc(-c2cc3n(n2)CCCC3)nc1
CHEMBL4577847,37.96,CC(C)(C)OC(=O)N1CCCC(c2cn3cccnc3n2)C1
CHEMBL4638463,6.47,CCP(=O)(OC)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1
CHEMBL4580807,185.16,CC(C)(C)OC(=O)N1CCCC(c2cn3nc(Cl)ccc3n2)C1
CHEMBL4646039,6.34,CCP(=O)(OC)c1ccc2oc(-c3cccc(F)c3)nc2c1
CHEMBL403313,8.86,CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12
CHEMBL4633558,1.59,CCP(=O)(OC)c1ccc2oc(-c3ccc(F)cc3F)nc2c1
CHEMBL4646007,5.85,CCP(=O)(OC)c1ccc2oc(-c3cccc(Cl)c3F)nc2c1
CHEMBL4638592,3.62,CCP(=O)(OC)c1ccc2oc(-c3ccc(F)cc3)nc2c1
CHEMBL4647847,4.22,COP(=O)(c1ccc2oc(-c3ccc(F)cc3)nc2c1)C(C)C
CHEMBL4634268,8.33,CCP(=O)(OC)c1ccc2oc(-c3cccc(C(F)(F)F)c3)nc2c1
CHEMBL4850551,32,CCC(C)(NC(=O)c1cc(F)cc2cc(-c3ccc(Cl)cc3)oc12)C(=O)O
CHEMBL5435963,15.1,CC1(C)Cn2nc(-c3ccc(F)cn3)c(-c3ccnc4[nH]ccc34)c2CO1
CHEMBL4795091,5.17,Cc1cnc2nc(N3CCN(C)CC3)c3nncn3c2c1
CHEMBL4793425,3.49,CN1CCN(c2nc3ncc(C#N)cc3n3cnnc23)CC1
CHEMBL4786816,3.28,CCOc1nc2nc(N3CCN(C)CC3)c3nncn3c2cc1Cl
CHEMBL4778864,5.83,CN1CCN(c2nc3ccc(Cl)cc3n3cnnc23)CC1
CHEMBL4797517,0.6,CN1CCN(c2nc3ncc(Cl)cc3n3cnnc23)CC1
CHEMBL4784683,1.63,CN1CCN(c2nc3nc(C#N)c(Cl)cc3n3cnnc23)CC1
CHEMBL306316,11.5,CN1CCN(c2nc3ccccc3n3cnnc23)CC1
CHEMBL4778591,2.81,CN1CCN(c2nc3ncc(I)cc3n3cnnc23)CC1
CHEMBL4781409,0.61,CN1CCN(c2nc3ncccc3n3cnnc23)CC1
CHEMBL4778712,5.72,CN1CCN(c2nc3nc(OCC(F)(F)F)c(Cl)cc3n3cnnc23)CC1
CHEMBL4798729,2.63,CN1CCN(c2nc3ccc([N+](=O)[O-])cc3n3cnnc23)CC1
CHEMBL4789645,2.55,CN1CCN(c2nc3nc(Cl)c(Cl)cc3n3cnnc23)CC1
CHEMBL1213118,72,CN1CCN(c2nc3ccccc3cc2Cn2nc(-c3ccc4nc(N)sc4c3)c3c(N)ncnc32)CC1
CHEMBL484952,24,CCCCNC(=O)c1ccc2c(c1)N=C(c1ccc(Cl)cc1)c1ccccc1S2
CHEMBL520509,114,CC(C)CCNC(=O)c1ccc2c(c1)N=C(c1ccccn1)c1ccccc1S2
CHEMBL520455,35,CC(C)CNC(=O)c1ccc2c(c1)N=C(c1cccc(Cl)c1)c1ccccc1S2
CHEMBL520349,16,CCCCNC(=O)c1ccc2c(c1)N=C(c1ccc(F)c(Cl)c1)c1ccccc1S2
CHEMBL5177843,8.5,Cc1cc(C2(c3cn(C)c4ccccc34)COC2)ccc1-c1cnc(C(F)(F)F)nc1
CHEMBL4581088,124,C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(-c4ccc(C(C)=O)cc4)nn3)c3c(N)ncnc32)C1
