molecule_chembl_id,CLint(ul/min/mg),SMILES
CHEMBL2087086,40,C[C@@H]1CN(c2nc(C(F)(F)F)no2)CCN1c1ncc(OCc2ccncc2C#N)cn1
CHEMBL2086693,28,C[C@@H]1CN(c2noc(C(F)(F)F)n2)CCN1c1ncc(OCc2ccncc2C#N)cn1
CHEMBL2087084,55,CC(C)c1noc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)[C@H](C)C2)n1
CHEMBL3220234,14,C[C@@H]1CN(c2noc(C(C)(C)O)n2)CCN1c1ncc(OCc2ccncc2C#N)cn1
CHEMBL4092098,14,CC1(C)CC(O)(COc2ccc([C@H]3CC[C@]4(CC3)OOC3(O4)C4CC5CC(C4)CC3C5)cc2)CC(C)(C)N1
CHEMBL3093059,26,Nc1n[nH]c2ccc(-c3nnc(NCc4ccccc4)o3)cc12
CHEMBL5193497,31,FC(F)(F)c1nccc(NCC2CCN(c3ccc4nnc(Cl)n4n3)CC2)n1
CHEMBL3093065,47,Fc1ccc(CNc2nnc(-c3c[nH]c4ncccc34)o2)cc1
CHEMBL3093064,54,Fc1cccc(CNc2nnc(-c3c[nH]c4ncccc34)o2)c1
CHEMBL3093071,30,CC(C)(Nc1nnc(-c2c[nH]c3ncccc23)o1)c1ccccc1
CHEMBL3093063,32,Fc1ccccc1CNc1nnc(-c2c[nH]c3ncccc23)o1
CHEMBL3093073,66,CC(C)[C@@H](Nc1nnc(-c2c[nH]c3ncccc23)o1)c1ccccc1
CHEMBL3093055,120,c1ccc(CNc2nnc(-c3ccc4cnccc4c3)o2)cc1
CHEMBL3814819,60,C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(CCN5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1
CHEMBL5437092,7,CC(C)(C)C(=O)n1nc(C2CCCN2)cc1NCc1ccc(Cl)s1
CHEMBL4455744,35.8,C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C
CHEMBL3759201,13,Cc1ccc(-c2ncc(OCC3CCNCC3)cc2-c2ccc(C#N)cc2)cc1
CHEMBL3410217,11,Cc1cc(C#Cc2cn(-c3ccc(C#N)cc3)c(C)n2)ccn1
CHEMBL1861940,14,CCCCc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1
CHEMBL3358093,419,CCCc1sc(-c2ccc(OC)c(OCCF)c2)nc1C(C)Sc1nc(N)cc(N)n1
CHEMBL2313405,9.7,CC(C)OC(=O)N1CCC(n2cc(CNc3ccc(S(C)(=O)=O)cc3F)cn2)CC1
CHEMBL5178464,9,COc1cccc(F)c1CNc1ccc(-c2cnc(C)nc2C)c2nncn12
CHEMBL2086653,29.9,CC(C)(C)OC(=O)N1CCN(c2cnc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1
CHEMBL2086656,62.6,CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)cc2)CC1
CHEMBL2086657,131,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)nn2)CC1
CHEMBL17350,37,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1
CHEMBL2086651,86.8,CC(C)(C)OC(=O)N1CCN(c2cnc(OCc3ccc(S(C)(=O)=O)cc3)nc2)CC1
CHEMBL2086684,43,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccncc2C#N)cn1
CHEMBL2086652,139,CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccc(S(C)(=O)=O)cc3)nn2)CC1
CHEMBL296419,66,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
CHEMBL2158841,10,O=C(O)[C@H](Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
CHEMBL2158769,6,N#Cc1ccccc1C[C@@H](C(=O)O)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
CHEMBL2158839,4,O=C(O)[C@H](Cc1ccccc1F)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
CHEMBL2158774,14,Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1
CHEMBL2158777,7,O=C(O)[C@H](Cc1cccc(C(F)(F)F)c1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
CHEMBL2158840,8,O=C(O)[C@H](Cc1cccc(F)c1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
CHEMBL3813873,11.8,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1
CHEMBL2347404,63.07,Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1
CHEMBL4757145,64.2,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCN(C)C
CHEMBL193544,22,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1
CHEMBL371888,15,COc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(C)c3)c2cc1OC
CHEMBL1084278,42,CN(C)CC1(CCc2ccc(C(C)(C)C)cc2)COC1
CHEMBL1922660,9.77,CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1
CHEMBL3906238,180,CCCCCS(=O)(=O)N[C@@H](C)[C@H](Oc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1ccccc1
CHEMBL3911831,110,CSc1ccc([C@@H](Oc2ccc3c(cnn3-c3ccc(F)cc3)c2)[C@H](C)NC(=O)C(F)(F)F)cc1
CHEMBL3970276,62,C[C@H](NC(=O)C(C)(C)C)[C@H](Oc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1ccccc1
CHEMBL3933196,76,CCCS(=O)(=O)N[C@@H](C)[C@H](Oc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1ccccc1
CHEMBL3892759,82,CCc1ccc([C@@H](Oc2ccc3c(cnn3-c3ccc(F)cc3)c2)[C@H](C)NC(=O)CO)cc1
CHEMBL3932081,22,CC(C)S(=O)(=O)N[C@@H](C)[C@H](Oc1ccc2c(cnn2-c2ccc(F)cc2)c1)c1ccccc1
CHEMBL3410208,72,Cc1ccccc1C#Cc1ncn2c1COc1ccccc1-2
CHEMBL3410212,14,C(#Cc1ncn2c1COc1ccccc1-2)c1cccnc1
CHEMBL3410213,16,Cc1cc(C#Cc2ncn3c2COc2ccccc2-3)ccn1
CHEMBL3410214,50,Cc1nc(C#Cc2ccccc2)c2n1-c1ccccc1OC2
CHEMBL3410211,68,Cc1cccc(C#Cc2ncn3c2COc2ccccc2-3)n1
CHEMBL3410207,37,C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1
CHEMBL396043,66,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NC3CC3)sc12
CHEMBL2147569,104.71,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@]2(O)CCc1ccc(F)cc1C(N)=O
CHEMBL380936,11,Nc1nc(NCc2ccccc2)nc2c1nc(O)n2Cc1ccccc1
CHEMBL399734,26,COc1ccc2c(C)cc(N[C@H]3CC[C@H](NCc4cn(C)c5ccc(OCc6ccccc6)cc45)C3)nc2c1
CHEMBL189181,28,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(F)cc4)c23)cc1
CHEMBL185658,75,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1
CHEMBL188705,103,COc1ccc(OC)c(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)c1
CHEMBL407960,74,COc1ccc(OC)c(CNc2n[nH]c3ccnc(Oc4ccccc4)c23)c1
CHEMBL4778773,8,CNC(=O)c1cnc2cc(OC)c(OCN3CCN(C)CC3)cc2c1Nc1ccccc1
CHEMBL3087514,28,COC(=O)N1C[C@@H]2CCC(O)(C#Cc3cccc(C)c3)[C@@H]2C1
CHEMBL233263,5,C[C@H](CO)Nc1nc(SCc2ccco2)nc2nc(N)sc12
CHEMBL2349179,81,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2cc(Cl)ccn2)nc2nc(N)sc12
CHEMBL2349322,48,CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2Br)nc2nc(N)sc12
CHEMBL232846,8.13,C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2nc(N)sc12
CHEMBL380947,31,CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12
CHEMBL395340,42,CC[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NC(C)C)sc12
CHEMBL2349304,62,CC(C)C[C@@H](Nc1nc(SCc2ccccc2)nc2nc(N)sc12)C(N)=O
CHEMBL2349339,23,CCC[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12
CHEMBL2349310,34,CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2)nc2nc(N)sc12
CHEMBL2349320,17,CC(C)(C)[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12
CHEMBL1734492,27.54,NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1
CHEMBL1631889,35,C(#Cc1n[nH]c2ccccc12)c1ccccc1
CHEMBL8747,63,CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1
CHEMBL318021,6.17,CC(CCc1cccc(OCc2ccc3ccccc3n2)c1)CC(=O)O
CHEMBL5173976,103.3,CCC(C)COc1cccc(OCc2ccc3ccccc3n2)c1
CHEMBL414017,35,Nc1nc(N)c2cc(NCc3ccc(Cl)c(Cl)c3)ccc2n1
CHEMBL5174405,48,OCc1cccc(OCc2ccc3ccccc3n2)c1
CHEMBL4799863,42.4,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)N(C)C)CC2)CCc2ccc(Cl)cc21
CHEMBL601719,22.1,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
CHEMBL5424707,6,COc1cc(C#N)ccc1COc1cccc(N2C=NN(Cc3nc4c(F)cc(C(=O)O)cc4n3C[C@@H]3CCO3)CC2)n1
CHEMBL5408881,12,COc1cc(C(F)(F)F)ccc1COc1cccc(N2C=NN(Cc3nc4c(F)cc(C(=O)O)cc4n3C[C@@H]3CCO3)CC2)n1
CHEMBL4518483,5,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1
CHEMBL4787115,21,CNC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(C#N)cn3)ccc1F)N=C(N)S2
CHEMBL4750159,30,CC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(C#N)cn3)ccc1F)N=C(N)S2
CHEMBL4740797,56,COC[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(C#N)cn3)ccc1F)N=C(N)S2
CHEMBL4457814,41,CCn1cnc2c(-c3ccc(F)c(OCc4ccccn4)c3)cnnc21
CHEMBL5093633,67.38,Cc1ccc(-c2cc(/C=C/c3ccc(C(=O)NO)cc3)ccn2)c(F)c1
CHEMBL5422928,8.8,Cc1cccc(C)c1-c1cccc(COc2ccc([S@@+]([O-])CC(=O)O)cc2)c1
CHEMBL5075646,105.06,O=C(NO)c1ccc(/C=C/c2ccnc(-c3ccccc3O)c2)cc1
CHEMBL578194,17.38,C[C@H](Nc1nc(Nc2cc(C3CC3)[nH]n2)cnc1C#N)c1ccc(F)cn1
CHEMBL250516,32,COc1ccc2c(C)cc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)nc2c1
CHEMBL248694,38,COc1cccc2nc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)ccc12
CHEMBL399712,15,Clc1cccc2ccc(N[C@H]3CCC[C@H](NCc4ccsc4)C3)nc12
CHEMBL400298,60,Cc1cc(N[C@H]2CCC[C@H](NCc3ccsc3)C2)nc2ccccc12
CHEMBL4866829,59.9,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OC(C(=O)NO)c1ccccc1
CHEMBL610731,56.2,FC(F)(F)c1cc(Nc2ccncc2)nc(NCc2ccncc2)n1
CHEMBL595700,55.2,Cc1cc(Nc2ccccc2)nc(NCc2ccccc2)n1
CHEMBL594534,70,Cc1cc(Nc2ccccc2)nc(NCc2ccccn2)n1
CHEMBL4565948,63.8,O=C(CCc1csc(CCc2ccc(Br)cc2)n1)NO
CHEMBL4436629,7.7,O=C(CCc1csc(/C=C/c2ccc(F)cc2)n1)NO
CHEMBL4868410,44.83,Cc1nc2c(-c3cnn(C)c3)cnn2c(NCc2ccccn2)c1C
CHEMBL4855056,83.97,Cc1nc2c(-c3ccccc3F)cnn2c(NCc2ccccn2)c1C
CHEMBL4868989,37.48,Cc1cnc2c(-c3ccc(F)cc3)cnn2c1NCc1ccccn1
CHEMBL4873374,74.15,Cc1nc2c(-c3ccccc3S(C)(=O)=O)cnn2c(NCc2ccccn2)c1C
CHEMBL4864252,8.76,Cc1nc2c(-c3ccc(F)cc3)cnn2c(NCc2ccccn2)c1S(C)(=O)=O
CHEMBL4851130,12.08,Cc1nc2c(-c3cccc(S(C)(=O)=O)c3)cnn2c(NCc2ccccn2)c1C
CHEMBL4868048,63.22,C=CCc1c(C)nc2c(-c3ccccc3)cnn2c1NCc1ccccn1
CHEMBL4876105,59.33,Cc1nc2c(-c3cccc(F)c3)cnn2c(NCc2ccccn2)c1C
CHEMBL4868880,21.78,Cc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cnn2c(NCc2ccccn2)c1C
CHEMBL4852539,44.62,Cc1nc2c(-c3ccc(F)cc3)cnn2c(NCc2ccccn2)c1Cl
CHEMBL4863149,8.76,Cc1nc2c(-c3ccc(OC(F)(F)F)cc3)cnn2c(NCc2ccccn2)c1C
CHEMBL5429143,84.5,[2H]C([2H])(Nc1c(CO)cnc2c(C3CC3)cc(C#N)cc12)c1ccc(OC)c(Cl)c1
CHEMBL5420793,48.1,COc1cc(CNc2c(CO)cnc3c(C4CC4)cc(C#N)cc23)ccn1
CHEMBL5432484,71.75,COc1ncc(CNc2c(CO)cnc3c(C4CC4)cc(C#N)cc23)cc1Cl
CHEMBL2333219,80,COc1ccc(CNc2c(CO)cnc3c(C4CC4)cc(C#N)cc23)cc1Cl
CHEMBL5398686,16,[2H]C([2H])([2H])N(Cc1ccccc1)c1ncnc2[nH]c(-c3ccc(CO)cc3)cc12
CHEMBL3759199,41,COc1cccc(OC)c1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2s1
CHEMBL5425883,76,COCCOCCOCCOc1ccc(-c2cc3c(N(C)Cc4cccc(C)c4)ncnc3[nH]2)cc1
CHEMBL5397490,10,Cc1cccc(CN(C)c2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1
CHEMBL5418087,4,Cc1cccc(CN(C)c2ncnc3[nH]c(-c4ccc(CCC(=O)O)cc4)cc23)c1
CHEMBL3758770,6.1,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1
CHEMBL5431583,29,CN(Cc1ccccc1)c1ncnc2[nH]c(-c3ccc(CO)cc3)cc12
CHEMBL5436321,26,Cc1cccc(CN(C)c2ncnc3[nH]c(-c4cccnc4)cc23)c1
CHEMBL5405206,28.7,Cc1cccc(CN(C)c2ncnc3[nH]c(-c4ccc(C(=O)O)c(F)c4)cc23)c1
CHEMBL5434318,9,CN(Cc1ccccc1F)c1ncnc2[nH]c(-c3ccc(CO)cc3)cc12
CHEMBL5436096,6.7,CN(Cc1ccccc1)c1ncnc2[nH]c(-c3ccc(O)cc3)cc12
CHEMBL5424694,28.5,CN(Cc1ccncc1)c1ncnc2[nH]c(-c3ccc(CO)cc3)cc12
CHEMBL3759317,9.7,COc1cc(C(=O)NCCN(C)C)cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1
CHEMBL5415777,26,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OCc4cccc(C)c4)c3c[n+]1CC2.[Br-]
CHEMBL4213503,23,C[C@H](Nc1c(C(N)=O)nnc2ccc(-c3ccc(OCCCN4CCCC4)nc3)cc12)C1CCOCC1
CHEMBL4209427,33,COCc1ccc(-c2ccc3nnc(C(N)=O)c(N[C@@H](C)C4CCOCC4)c3c2)cn1
CHEMBL4217549,28,C[C@H](Nc1c(C(N)=O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)C1CCOCC1
CHEMBL4205554,42,CNC(=O)c1nnc2ccc(-c3ccc(COC)nc3)cc2c1N[C@@H](C)C1CCOCC1
CHEMBL4217379,18,C[C@H](Nc1c(C(N)=O)nnc2ccc(-c3ccc(NCCN(C)C)nc3)cc12)C1CCOCC1
CHEMBL598191,11,N=C(N)c1cc2c(OCc3ccccc3)cccc2s1
CHEMBL14762,123.03,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL4863306,17.62,[2H]C([2H])([2H])N(C([2H])([2H])[2H])C([2H])([2H])C([2H])([2H])c1c[nH]c2cccc(OCc3ccccc3)c12
CHEMBL3086715,278,COC(=O)N1CCC(O)(C#Cc2cccc(C)c2)[C@@H]2CCC[C@@H]21
CHEMBL1782521,9.9,O=C(O)c1cc2cc(Br)cc(NCC3CCNCC3)c2o1
CHEMBL1175,38,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
CHEMBL3893393,16,CCSC[C@@](O)([C@@H](Nc1cccc2nc(C)ccc12)c1ccc(OC)c(F)c1Cl)C(F)(F)F
CHEMBL1917592,12,CCCS(=O)(=O)c1ccc(F)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1
CHEMBL1789274,26,CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1
CHEMBL1917389,12,O=C(O)COc1ccc(Cl)cc1C#Cc1cccc(Cl)c1
CHEMBL1917575,11,CCCS(=O)(=O)c1cccc(C#Cc2cc(Cl)ccc2OCC(=O)O)c1
CHEMBL4476275,58,CCCN(CCC)[C@H](c1ccccn1)[C@@H](c1ccccn1)N(CCC)CCC
CHEMBL1917578,14,Cc1ccc(S(C)(=O)=O)cc1C#Cc1cc(Cl)ccc1OCC(=O)O
CHEMBL1917609,32,COCCN(C)S(=O)(=O)c1ccc(C)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1
CHEMBL4548457,199,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3cccc(F)c3)cc2)CC1
CHEMBL4476695,68,C=CC(=O)N1CCC(O)(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1
CHEMBL4072833,110,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1
CHEMBL4453568,143,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2cc(F)c(Oc3ccccc3)cc2F)CC1
CHEMBL1649928,35,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(c1ccncn1)C3)C2)c1cccc(F)c1
CHEMBL1649931,13,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(=O)C(C)C)C3)C2)c1cccc(F)c1
CHEMBL1649926,24,COC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(C)=O)CC3)C2)c1cccc(F)c1
CHEMBL1649930,11,CCC(=O)N1CCc2c(nc(C)n2[C@H]2C[C@H]3CC[C@@H](C2)N3CC[C@H](NC(C)=O)c2cccc(F)c2)C1
CHEMBL1649923,44,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(=O)OC(C)C)CC3)C2)c1ccccc1
CHEMBL1649925,42,COC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(C)=O)CC3)C2)c1ccccc1
CHEMBL1649932,25,CCCC(=O)N1CCc2c(nc(C)n2[C@H]2C[C@H]3CC[C@@H](C2)N3CC[C@H](NC(C)=O)c2cccc(F)c2)C1
CHEMBL1649933,35,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(=O)C(C)(C)C)C3)C2)c1cccc(F)c1
CHEMBL1649921,42,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(=O)C(C)C)CC3)C2)c1ccccc1
CHEMBL1649918,24,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(S(C)(=O)=O)CC3)C2)c1ccccc1
CHEMBL1649917,46,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CN(C(C)C)CC3)C2)c1ccccc1
CHEMBL5434172,40,CC(=O)c1ccc2c(c1)c1cc(C(C)=O)ccc1n2CCNC1CCCC1
CHEMBL1800631,45.8,Cl.N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCN2CCCCC2)n2c1nc1ccccc12
CHEMBL4096235,23,CN1CCN(CCNc2nc(Nc3ccc(Cl)c(F)c3)nc3ccccc23)CC1.Cl.Cl
CHEMBL5092587,148.6,CCC(=O)N(CC1(N2CCN(CCOc3ccccc3)CC2)CCOCC1)c1cccc(C(F)(F)F)n1
CHEMBL4439276,34,Cc1c(-c2c(-c3ccc(F)o3)sc3ncnc(O[C@H](Cc4ccccc4OCc4ccnn4CC(F)(F)F)C(=O)O)c23)ccc(OCCN2CCN(C)CC2)c1Cl
CHEMBL2346975,89.13,CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1
CHEMBL4581631,50,C[C@]1(c2ccc(Cl)cc2Cl)OC[C@@H](COc2ccc(N3CCN(CCCc4cccc(O)c4)CC3)cc2)O1
CHEMBL4461960,42.3,C/C(=N\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C
CHEMBL4096204,111,CS(=O)(=O)N1CCN(CCOc2ccc([C@H]3CC[C@]4(CC3)OOC3(O4)C4CC5CC(C4)CC3C5)cc2)CC1
CHEMBL4100572,8,OC1CCN(CCOc2ccc([C@H]3CC[C@]4(CC3)OOC3(O4)C4CC5CC(C4)CC3C5)cc2)CC1
CHEMBL5285265,63.7,c1cc([C@H]2CC[C@@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)ccc1OCCN1CCOCC1
CHEMBL4083579,34,FC1(F)C2CC3CC1CC(C2)C31OO[C@]2(CC[C@@H](c3ccc(OCCN4CCOCC4)cc3)CC2)O1
CHEMBL4061808,73,FC12CC3CC(C1)C1(OO[C@]4(CC[C@@H](c5ccc(OCCN6CCOCC6)cc5)CC4)O1)C(C3)C2
CHEMBL1828820,68,c1cc([C@H]2CC[C@]3(CC2)OO[C@]2(O3)C3CC4CC(C3)CC2C4)ccc1OCCN1CCOCC1
CHEMBL4288940,23,FC1CCN(CCOc2ccc(C3CCC4(CC3)OOC3(OO4)C4CC5CC(C4)CC3C5)cc2)CC1
CHEMBL2170062,10.7,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1
CHEMBL5271860,21.3,c1cc([C@H]2CCC[C@@]3(C2)OOC2(O3)C3CC4CC(C3)CC2C4)ccc1OCCN1CCOCC1
CHEMBL4850666,26.3,FC1CCN(CCOc2ccc([C@H]3CCCC4(C3)OOC3(OO4)C4CC5CC(C4)CC3C5)cc2)CC1
CHEMBL4875047,22.2,c1cc([C@@H]2CCCC3(C2)OOC2(OO3)C3CC4CC(C3)CC2C4)ccc1OCCN1CCOCC1
CHEMBL4867438,19.8,FC1CCN(CCOc2ccc([C@@H]3CCCC4(C3)OOC3(OO4)C4CC5CC(C4)CC3C5)cc2)CC1
CHEMBL108922,15,CCO/N=C/c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1
CHEMBL5427684,14.8,CCOC(=O)C1=C(CN2CCN(C(/C=C/c3ccccc3)C(=O)O)CC2)NC(c2nccs2)=NC1c1ccc(F)cc1Br
CHEMBL3810020,135,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1N(C)CCN1CCOCC1
CHEMBL1085884,13,CN(C)C1(CCCc2ccc(C(C)(C)C)cc2)COC1
CHEMBL4541672,7.81,CCN1CCN(CCCn2cnc3c(N4CCN(CC)CC4)ncnc32)CC1
CHEMBL258282,30.2,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1
CHEMBL4065089,58,c1cc(OCCN2CCOCC2)cc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)c1
CHEMBL5416324,5,Nc1nc(NCCn2cccn2)c2ccc(-c3cc[nH]n3)nc2n1
CHEMBL5423650,65,c1cnn(CCNc2ccnc3cc(-n4cccn4)ccc23)c1
CHEMBL5411420,7,Nc1cc(NCCn2cccn2)c2ccccc2n1
CHEMBL1532611,57.54,Nc1ccc(OCCc2ccccc2)cc1
CHEMBL4092772,123,c1ccc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)c(OCCN2CCOCC2)c1
CHEMBL1774921,12,CCNC(=O)N1Cc2nc(N)nc(-c3c(Cl)cc(Cl)cc3OCCn3cccn3)c2C1
CHEMBL1774931,9.7,Cc1cc(Cl)cc(OCCn2cc(F)cn2)c1-c1nc(N)nc2c1CN(C(=O)NCC(F)(F)F)C2
CHEMBL1384203,30.5,CC(NCC(O)c1ccc([N+](=O)[O-])cc1)C12CC3CC(CC(C3)C1)C2
CHEMBL3746756,30.1,CN1CCN(CCCNc2nc(-c3ccccn3)nc3c2CN(Cc2ccccc2)CC3)CC1
CHEMBL5219819,9,COc1ccc(/N=C(\N)CC(O)c2cc3c(F)cc(F)cc3c3cc(C(F)(F)F)ccc23)cc1.Cl
CHEMBL4446961,179,COc1ccccc1OCC(O)CN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
CHEMBL4091806,87,c1cc([C@H]2CC[C@]3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)ccc1OCCCN1CCOCC1
CHEMBL4099546,68,CS(=O)(=O)N1CCN(CCCOc2ccc([C@H]3CC[C@]4(CC3)OOC3(O4)C4CC5CC(C4)CC3C5)cc2)CC1
CHEMBL4073682,55,[O-][S+]1CCN(CCCOc2ccc([C@H]3CC[C@]4(CC3)OOC3(O4)C4CC5CC(C4)CC3C5)cc2)CC1
CHEMBL4210045,40,Cc1cn(C)nc1[C@H](C)Nc1c(C(N)=O)nnc2ccc(-c3ccc(OCCCN4CCCC4)nc3)cc12
CHEMBL412142,96,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1
CHEMBL143305,66.07,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1
CHEMBL2332935,8,CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2
